,mean,median,std,min,max
Stage2.Output.Measurement7.U.Actual,2.913032871745883,2.98,0.5179480892841465,-1.3201e-109,7.45
Stage2.Output.Measurement7.U.Setpoint,2.75,2.75,0.0,2.75,2.75
Stage2.Output.Measurement8.U.Actual,18.354126494163687,19.69,5.0244157759905095,-3.0265e-104,24.75599372
Stage2.Output.Measurement8.U.Setpoint,19.389999999999997,19.39,7.0062000374413746e-12,19.39,19.39
Stage2.Output.Measurement9.U.Actual,11.64598161336741,16.57,7.608595535737762,-0.003719244,18.36
Stage2.Output.Measurement9.U.Setpoint,16.47,16.47,1.0622990928980584e-12,16.47,16.47
Stage2.Output.Measurement10.U.Actual,7.535957837823751,7.9,1.6457850776762277,-5.22042e-95,8.59
Stage2.Output.Measurement10.U.Setpoint,7.930000000000003,7.93,2.7303573675323005e-12,7.93,7.93
Stage2.Output.Measurement11.U.Actual,5.416515157750426,5.63,1.1823328857197306,-2.70321e-95,6.32
Stage2.Output.Measurement11.U.Setpoint,5.650000000000001,5.65,1.82083038498413e-13,5.65,5.65
Stage2.Output.Measurement12.U.Actual,1.9725612342679584,2.06,0.41453975964780554,-6.20002e-96,5.2
Stage2.Output.Measurement12.U.Setpoint,1.8500000000000005,1.85,3.790435935570622e-13,1.85,1.85
Stage2.Output.Measurement13.U.Actual,3.5352507329153178,3.51,0.47682439104569235,-1.82281e-95,8.0
Stage2.Output.Measurement13.U.Setpoint,2.89,2.89,4.3611108245229653e-13,2.89,2.89
Stage2.Output.Measurement14.U.Actual,7.515574121681148,7.87,2.082947516778621,-3.437021488,14.26
Stage2.Output.Measurement14.U.Setpoint,11.710000000000003,11.71,5.666779442048172e-13,11.71,11.71
